session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
629e5ad34a6ce1fb0570d39a,5c96a15a0225a000147bbd44,APPROVED,2022-06-06 19:51:49.863000,2022-06-06 20:00:23.881000,514.018,36,706,5,100,2022-06-10 08:13:05.959000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
629e5ade84b64ae2df45295c,5d2143e21b06360019082ccd,APPROVED,2022-06-06 19:52:01.519000,2022-06-06 20:00:29.947000,508.428,24,202,3,98,2022-06-10 08:13:06.026000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
629e5ae31db868e4f176e74f,5df7f73b6d8cc7000a390c2e,APPROVED,2022-06-06 19:52:06.290000,2022-06-06 20:00:33.730000,507.44,32,352,3,99,2022-06-10 08:13:06.091000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5ae3b2841d70c06c0a75,5872d1aaa205a90001e7f3a4,APPROVED,2022-06-06 19:52:06.686000,2022-06-06 19:54:42.629000,155.943,45,812,14,97,2022-06-10 08:13:06.156000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5ae4e827fd2534491c0f,616ac79dcdd6ef423d2a761e,APPROVED,2022-06-06 19:52:07.326000,2022-06-06 20:07:24.339000,917.013,65,352,2,100,2022-06-10 08:13:06.224000,2B73928C,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Male,Yes
629e5aec564058e77d681d75,6007626d299a4c1474621584,APPROVED,2022-06-06 19:52:19.666000,2022-06-06 20:06:41.245000,861.579,53,499,2,100,2022-06-10 08:13:06.290000,2B73928C,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Male,No
629e5b0071c8a84643aeef8b,5e14f72f557425b04528df9a,APPROVED,2022-06-06 19:55:06.675000,2022-06-06 20:04:36.056000,569.381,32,694,2,100,2022-06-10 08:13:06.372000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
629e5b04b356e738d9b2b7b1,629e4ae8c7f48779af44877e,APPROVED,2022-06-06 19:52:47.412000,2022-06-06 20:07:27.660000,880.248,42,71,1,100,2022-06-10 08:13:06.443000,2B73928C,United States,United States,Part-Time,English,United States,Male,No
629e5b0728aa6cd3e6a671cd,5de21543762dc22548c937b3,APPROVED,2022-06-06 19:52:43.730000,2022-06-06 20:05:52.444000,788.714,38,417,7,97,2022-06-10 08:13:06.511000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
629e5b1327d1bfb9bcd60d6d,56d33245321cae000b68d9e4,APPROVED,2022-06-06 19:52:51.008000,2022-06-06 20:06:30.691000,819.683,64,1074,5,100,2022-06-10 08:13:06.577000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
629e5b1a1fa63aa29f6ccdaa,610147745f4b8aea552cc248,APPROVED,2022-06-06 19:53:00.638000,2022-06-06 20:03:51.805000,651.167,26,320,0,100,2022-06-10 08:13:06.646000,2B73928C,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
629e5b1dbc0aca7b27307ddd,593533d4ed2e9a0001d37c0b,APPROVED,2022-06-06 19:53:06.964000,2022-06-06 20:01:08.741000,481.777,49,1442,3,100,2022-06-10 08:13:06.709000,2B73928C,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Male,No
629e5b2bc37d9830a3abe64c,5cb5464a6f451e00012da7cf,RETURNED,2022-06-06 20:03:15.313000,,1869103.087737,28,825,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
629e5b2f951610a6332432b5,57a78015454e5400015f57ec,APPROVED,2022-06-06 19:53:22.878000,2022-06-06 20:02:40.234000,557.356,55,810,19,95,2022-06-10 08:13:06.778000,2B73928C,Ireland,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5b307b1f89f924ae69d2,5af892053aba4900015f0592,APPROVED,2022-06-06 19:53:24.909000,2022-06-06 20:05:25.488000,720.579,49,814,1,100,2022-06-10 08:13:06.842000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
629e5b3eaba821f0b401ca28,629c733a53dc10f3e0250a6f,APPROVED,2022-06-06 19:54:01.171000,2022-06-06 20:01:00.062000,418.891,19,14,0,100,2022-06-10 08:13:06.907000,2B73928C,Malaysia,United Kingdom,DATA EXPIRED,English,Malaysia,Male,Yes
629e5c8cdedc87ece0205337,629e11c0d89e0c18f21e687a,APPROVED,2022-06-06 19:59:11.225000,2022-06-06 20:06:42.443000,451.218,27,52,0,100,2022-06-10 08:13:06.974000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e6056a1fa5cf0dab1dd5c,60a5948b01c579f729232914,APPROVED,2022-06-06 20:15:21.524000,2022-06-06 20:21:26.220000,364.696,25,217,0,100,2022-06-10 08:13:14.162000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
629e6057fbc3e88a16ded3dd,6015d59d1e8f20719f170c47,APPROVED,2022-06-06 20:15:22.440000,2022-06-06 20:20:31.056000,308.616,22,233,0,100,2022-06-10 08:13:14.240000,2B73928C,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
629e63d8f147de84c8025e9a,60f2827edef72723df274d53,APPROVED,2022-06-06 20:30:21.015000,2022-06-06 20:43:44.761000,803.746,38,357,5,98,2022-06-10 08:13:14.314000,2B73928C,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
629e63d9dc62396e0f239e49,5fae21a54a4443270635904c,APPROVED,2022-06-06 20:30:22.658000,2022-06-06 20:47:27.916000,1025.258,28,405,3,99,2022-06-10 08:13:14.450000,2B73928C,Zimbabwe,United Kingdom,Full-Time,English,Zimbabwe,Female,Yes
629e63d9dcb43d4fe0837e52,5efc6a4ba720250009909dfe,APPROVED,2022-06-06 20:30:17.290000,2022-06-06 20:39:15.679000,538.389,51,858,3,100,2022-06-10 08:13:14.382000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
629e675ca1e715f0da720ed8,5f4b9740fdda0b04d86a533c,APPROVED,2022-06-06 20:45:24.144000,2022-06-06 21:01:18.144000,954.0,37,834,0,100,2022-06-10 08:13:07.038000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e675d58ff7061a394fd15,5eefae66afa4e549ac714f73,APPROVED,2022-06-06 20:45:17.660000,2022-06-06 21:06:29.369000,1271.709,26,685,1,100,2022-06-10 08:13:07.100000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
